file,instance,num_jobs,num_machines,time_limit,result_status,result_objective,result_runtime,upper_bound,lower_bound,relax_status,relax_objective,relax_runtime
./data/flowshop_tai20_20.txt,0,20,20,2700,1,2636.0,2701.1573374271393,2297,1911,1,1237.0,0.3392932415008545
./data/flowshop_tai20_20.txt,1,20,20,2700,1,2361.0,2700.95783162117,2100,1711,1,1191.0,0.32578396797180176
./data/flowshop_tai20_20.txt,2,20,20,2700,1,2569.0,2701.021333217621,2326,1844,1,1320.0,0.3098418712615967
./data/flowshop_tai20_20.txt,3,20,20,2700,1,2432.0,2701.059396982193,2223,1810,1,1238.0,0.3532419204711914
./data/flowshop_tai20_20.txt,4,20,20,2700,1,2626.0,2701.365816116333,2291,1899,1,1253.0,0.37079644203186035
./data/flowshop_tai20_20.txt,5,20,20,2700,1,2520.0,2701.14918589592,2226,1875,1,1256.0,0.35949182510375977
./data/flowshop_tai20_20.txt,6,20,20,2700,1,2430.0,2701.096143245697,2273,1875,1,1232.0,0.4546830654144287
./data/flowshop_tai20_20.txt,7,20,20,2700,1,2497.0,2701.0166277885437,2200,1880,1,1227.0,0.31441164016723633
./data/flowshop_tai20_20.txt,8,20,20,2700,1,2530.0,2700.9097237586975,2237,1840,1,1240.0,0.363781213760376
./data/flowshop_tai20_20.txt,9,20,20,2700,1,2533.0,2701.007383584976,2178,1900,1,1131.0,0.4766552448272705
./data/flowshop_tai100_5.txt,0,100,5,2700,0,392.0,2711.2939867973328,5493,5437,1,392.0,5.1424338817596436
./data/flowshop_tai100_5.txt,1,100,5,2700,1,5696.0,2795.699359893799,5268,5208,1,403.0,3.9011006355285645
./data/flowshop_tai100_5.txt,2,100,5,2700,0,387.0,2709.4227986335754,5175,5130,1,387.0,3.6861867904663086
./data/flowshop_tai100_5.txt,3,100,5,2700,0,401.0,2720.5763227939606,5014,4963,1,401.0,4.393237352371216
./data/flowshop_tai100_5.txt,4,100,5,2700,0,401.0,2758.0945670604706,5250,5195,1,401.0,3.8379833698272705
./data/flowshop_tai100_5.txt,5,100,5,2700,0,400.0,2703.2351644039154,5135,5063,1,400.0,4.001093149185181
./data/flowshop_tai100_5.txt,6,100,5,2700,0,373.0,2709.8731837272644,5246,5198,1,373.0,4.573272466659546
./data/flowshop_tai100_5.txt,7,100,5,2700,0,368.0,2723.385938167572,5106,5038,1,368.0,4.573342800140381
./data/flowshop_tai100_5.txt,8,100,5,2700,0,381.0,2705.503223657608,5454,5385,1,381.0,3.946826696395874
./data/flowshop_tai100_5.txt,9,100,5,2700,0,411.0,2722.9699354171753,5328,5272,1,411.0,3.7478537559509277
./data/flowshop_tai20_10.txt,0,20,10,2700,1,1775.0,2700.6040019989014,1582,1448,1,657.0,0.14865326881408691
./data/flowshop_tai20_10.txt,1,20,10,2700,1,1780.0,2700.6366913318634,1659,1479,1,666.0,0.17444825172424316
./data/flowshop_tai20_10.txt,2,20,10,2700,1,1687.0,2700.522308588028,1496,1407,1,635.0,0.15330290794372559
./data/flowshop_tai20_10.txt,3,20,10,2700,1,1547.0,2700.6620075702667,1378,1308,1,586.0,0.15627527236938477
./data/flowshop_tai20_10.txt,4,20,10,2700,1,1535.0,2700.6002626419067,1419,1325,1,610.0,0.17719292640686035
./data/flowshop_tai20_10.txt,5,20,10,2700,1,1525.0,2700.7024438381195,1397,1290,1,582.0,0.17466259002685547
./data/flowshop_tai20_10.txt,6,20,10,2700,1,1739.0,2700.5076389312744,1484,1388,1,671.0,0.17438006401062012
./data/flowshop_tai20_10.txt,7,20,10,2700,1,1734.0,2700.52907204628,1538,1363,1,692.0,0.18510842323303223
./data/flowshop_tai20_10.txt,8,20,10,2700,1,1735.0,2700.572929620743,1593,1472,1,702.0,0.19535207748413086
./data/flowshop_tai20_10.txt,9,20,10,2700,1,1731.0,2700.648949623108,1591,1356,1,707.0,0.17539477348327637
./data/flowshop_tai20_5.txt,0,20,5,2700,1,1338.0,2700.4217455387115,1278,1232,1,353.0,0.10918211936950684
./data/flowshop_tai20_5.txt,1,20,5,2700,1,1407.0,2700.403652191162,1359,1290,1,348.0,0.09798431396484375
./data/flowshop_tai20_5.txt,2,20,5,2700,1,1148.0,2700.4775516986847,1081,1073,1,360.0,0.1097109317779541
./data/flowshop_tai20_5.txt,3,20,5,2700,1,1387.0,2700.4476928710938,1293,1268,1,384.0,0.07985067367553711
./data/flowshop_tai20_5.txt,4,20,5,2700,1,1318.0,2700.434983253479,1236,1198,1,366.0,0.10915946960449219
./data/flowshop_tai20_5.txt,5,20,5,2700,1,1224.0,2700.4287033081055,1195,1180,1,352.0,0.11276865005493164
./data/flowshop_tai20_5.txt,6,20,5,2700,1,1278.0,2700.4213173389435,1239,1226,1,430.0,0.08629775047302246
./data/flowshop_tai20_5.txt,7,20,5,2700,1,1246.0,2700.4589908123016,1206,1170,1,383.0,0.10842704772949219
./data/flowshop_tai20_5.txt,8,20,5,2700,1,1285.0,2700.442413330078,1230,1206,1,344.0,0.07947397232055664
./data/flowshop_tai20_5.txt,9,20,5,2700,1,1174.0,2700.4667649269104,1108,1082,1,332.0,0.09720873832702637
./data/flowshop_tai50_10.txt,0,50,10,2700,1,3764.0,2707.7638602256775,3025,2907,1,666.0,1.0271756649017334
./data/flowshop_tai50_10.txt,1,50,10,2700,1,3716.0,2707.8259885311127,2892,2821,1,667.0,1.0477383136749268
./data/flowshop_tai50_10.txt,2,50,10,2700,1,3707.0,2706.712490797043,2864,2801,1,711.0,1.0671136379241943
./data/flowshop_tai50_10.txt,3,50,10,2700,1,3607.0,2706.9104595184326,3064,2968,1,816.0,1.052583932876587
./data/flowshop_tai50_10.txt,4,50,10,2700,1,3900.0,2706.911607027054,2986,2908,1,677.0,1.0291273593902588
./data/flowshop_tai50_10.txt,5,50,10,2700,1,3674.0,2709.6056797504425,3006,2941,1,688.0,1.038853406906128
./data/flowshop_tai50_10.txt,6,50,10,2700,1,3835.0,2709.049129009247,3107,3062,1,743.0,1.0323362350463867
./data/flowshop_tai50_10.txt,7,50,10,2700,1,3710.0,2736.450740337372,3039,2959,1,685.0,1.0404126644134521
./data/flowshop_tai50_10.txt,8,50,10,2700,1,3654.0,2712.2384893894196,2902,2795,1,712.0,1.0322988033294678
./data/flowshop_tai50_10.txt,9,50,10,2700,1,3825.0,2710.767857313156,3091,3046,1,777.0,1.0291728973388672
./data/jobshop_tai30_20.txt,0,30,20,2700,1,4344.0,2701.740446329117,2064,1850,1,1153.0,0.4831817150115967
./data/jobshop_tai30_20.txt,1,30,20,2700,1,4479.0,2702.099196434021,1983,1761,1,1179.0,0.4277458190917969
./data/jobshop_tai30_20.txt,2,30,20,2700,1,4577.0,2701.6569726467133,1896,1710,1,1180.0,0.44347691535949707
./data/jobshop_tai30_20.txt,3,30,20,2700,1,4505.0,2701.929566383362,2031,1820,1,1132.0,0.493441104888916
./data/jobshop_tai30_20.txt,4,30,20,2700,1,5060.0,2702.0417251586914,2032,1785,1,1173.0,0.41411280632019043
./data/jobshop_tai30_20.txt,5,30,20,2700,1,5831.0,2701.7716960906982,2057,1940,1,1243.0,0.430675745010376
./data/jobshop_tai30_20.txt,6,30,20,2700,1,4226.0,2702.1547853946686,1947,1751,1,1319.0,0.48050642013549805
./data/jobshop_tai30_20.txt,7,30,20,2700,1,5181.0,2701.8189861774445,2001,1770,1,1208.0,0.5229604244232178
./data/jobshop_tai30_20.txt,8,30,20,2700,1,4704.0,2701.893445968628,2013,1758,1,1144.0,0.49745941162109375
./data/jobshop_tai30_20.txt,9,30,20,2700,1,5029.0,2702.0917065143585,1973,1678,1,1171.0,0.511009931564331
./data/jobshop_tai50_20.txt,0,50,20,2700,1,13201.0,2707.929485797882,2868,2868,1,1241.0,2.3424389362335205
./data/jobshop_tai50_20.txt,1,50,20,2700,1,11044.0,2707.617863178253,2902,2848,1,1250.0,2.4683945178985596
./data/jobshop_tai50_20.txt,2,50,20,2700,1,9308.0,2710.298705816269,2755,2755,1,1278.0,2.361346960067749
./data/jobshop_tai50_20.txt,3,50,20,2700,1,11277.0,2713.0331902503967,2702,2697,1,1165.0,2.593276262283325
./data/jobshop_tai50_20.txt,4,50,20,2700,1,11616.0,2708.5522890090942,2725,2725,1,1218.0,2.3348710536956787
./data/jobshop_tai50_20.txt,5,50,20,2700,1,12417.0,2708.0156021118164,2845,2845,1,1247.0,2.5319576263427734
./data/jobshop_tai50_20.txt,6,50,20,2700,1,15598.0,2708.173778295517,2841,2812,1,1206.0,2.1075775623321533
./data/jobshop_tai50_20.txt,7,50,20,2700,1,11843.0,2707.6763212680817,2784,2764,1,1317.0,2.316019058227539
./data/jobshop_tai50_20.txt,8,50,20,2700,1,10819.0,2710.8125586509705,3071,3071,1,1394.0,2.2862515449523926
./data/jobshop_tai50_20.txt,9,50,20,2700,1,10888.0,2707.70888876915,2995,2995,1,1146.0,2.0071730613708496
./data/jobshop_tai20_15.txt,0,20,15,2700,1,2073.0,2700.40704369545,1376,1254,1,917.0,0.13052940368652344
./data/jobshop_tai20_15.txt,1,20,15,2700,1,2047.0,2700.7267117500305,1377,1267,1,955.0,0.13330650329589844
./data/jobshop_tai20_15.txt,2,20,15,2700,1,1987.0,2700.5533158779144,1367,1243,1,845.0,0.12479853630065918
./data/jobshop_tai20_15.txt,3,20,15,2700,1,1854.0,2700.58474111557,1345,1329,1,956.0,0.12619376182556152
./data/jobshop_tai20_15.txt,4,20,15,2700,1,1837.0,2700.5737676620483,1366,1163,1,807.0,0.113250732421875
./data/jobshop_tai20_15.txt,5,20,15,2700,1,2168.0,2700.6916806697845,1371,1211,1,858.0,0.1154031753540039
./data/jobshop_tai20_15.txt,6,20,15,2700,1,2069.0,2700.47842502594,1480,1306,1,953.0,0.11248564720153809
