file,instance,num_jobs,num_machines,solver,time_limit,result_status,result_objective,result_runtime,upper_bound,lower_bound,relax_status,relax_objective,relax_runtime
./data/flowshop_tai20_20.txt,0,20,20,cbc,2700,1,2636,2701.15733742714,2297,1911,1,1237,0.339293241500855
./data/flowshop_tai20_20.txt,1,20,20,cbc,2700,1,2361,2700.95783162117,2100,1711,1,1191,0.325783967971802
./data/flowshop_tai20_20.txt,2,20,20,cbc,2700,1,2569,2701.02133321762,2326,1844,1,1320,0.309841871261597
./data/flowshop_tai20_20.txt,3,20,20,cbc,2700,1,2432,2701.05939698219,2223,1810,1,1238,0.353241920471191
./data/flowshop_tai20_20.txt,4,20,20,cbc,2700,1,2626,2701.36581611633,2291,1899,1,1253,0.37079644203186
./data/flowshop_tai20_20.txt,5,20,20,cbc,2700,1,2520,2701.14918589592,2226,1875,1,1256,0.35949182510376
./data/flowshop_tai20_20.txt,6,20,20,cbc,2700,1,2430,2701.0961432457,2273,1875,1,1232,0.454683065414429
./data/flowshop_tai20_20.txt,7,20,20,cbc,2700,1,2497,2701.01662778854,2200,1880,1,1227,0.314411640167236
./data/flowshop_tai20_20.txt,8,20,20,cbc,2700,1,2530,2700.9097237587,2237,1840,1,1240,0.363781213760376
./data/flowshop_tai20_20.txt,9,20,20,cbc,2700,1,2533,2701.00738358498,2178,1900,1,1131,0.476655244827271
./data/flowshop_tai100_5.txt,0,100,5,cbc,2700,0,392,2711.29398679733,5493,5437,1,392,5.14243388175964
./data/flowshop_tai100_5.txt,1,100,5,cbc,2700,1,5696,2795.6993598938,5268,5208,1,403,3.90110063552856
./data/flowshop_tai100_5.txt,2,100,5,cbc,2700,0,387,2709.42279863358,5175,5130,1,387,3.68618679046631
./data/flowshop_tai100_5.txt,3,100,5,cbc,2700,0,401,2720.57632279396,5014,4963,1,401,4.39323735237122
./data/flowshop_tai100_5.txt,4,100,5,cbc,2700,0,401,2758.09456706047,5250,5195,1,401,3.83798336982727
./data/flowshop_tai100_5.txt,5,100,5,cbc,2700,0,400,2703.23516440392,5135,5063,1,400,4.00109314918518
./data/flowshop_tai100_5.txt,6,100,5,cbc,2700,0,373,2709.87318372726,5246,5198,1,373,4.57327246665955
./data/flowshop_tai100_5.txt,7,100,5,cbc,2700,0,368,2723.38593816757,5106,5038,1,368,4.57334280014038
./data/flowshop_tai100_5.txt,8,100,5,cbc,2700,0,381,2705.50322365761,5454,5385,1,381,3.94682669639587
./data/flowshop_tai100_5.txt,9,100,5,cbc,2700,0,411,2722.96993541718,5328,5272,1,411,3.74785375595093
./data/flowshop_tai20_10.txt,0,20,10,cbc,2700,1,1775,2700.6040019989,1582,1448,1,657,0.148653268814087
