file,instance,num_jobs,num_machines,solver,time_limit,result_status,result_objective,result_runtime,upper_bound,lower_bound
./data/flowshop_tai50_10.txt,0,50,10,cpoptimizer,300,1,666,0.047243595123291016,3025,2907
./data/flowshop_tai50_10.txt,1,50,10,cpoptimizer,300,1,667,0.04955244064331055,2892,2821
./data/flowshop_tai50_10.txt,2,50,10,cpoptimizer,300,1,711,0.06461453437805176,2864,2801
./data/flowshop_tai50_10.txt,3,50,10,cpoptimizer,300,1,816,0.05664491653442383,3064,2968
./data/flowshop_tai50_10.txt,4,50,10,cpoptimizer,300,1,677,0.053502798080444336,2986,2908
./data/flowshop_tai50_10.txt,5,50,10,cpoptimizer,300,1,688,0.057010650634765625,3006,2941
./data/flowshop_tai50_10.txt,6,50,10,cpoptimizer,300,1,743,0.06084704399108887,3107,3062
./data/flowshop_tai50_10.txt,7,50,10,cpoptimizer,300,1,685,0.057561635971069336,3039,2959
./data/flowshop_tai50_10.txt,8,50,10,cpoptimizer,300,1,712,0.05735182762145996,2902,2795
./data/flowshop_tai50_10.txt,9,50,10,cpoptimizer,300,1,777,0.07356834411621094,3091,3046
./data/flowshop_tai100_5.txt,0,100,5,cpoptimizer,300,1,392,0.06591796875,5493,5437
./data/flowshop_tai100_5.txt,1,100,5,cpoptimizer,300,1,403,0.07022643089294434,5268,5208
./data/flowshop_tai100_5.txt,2,100,5,cpoptimizer,300,1,387,0.07005572319030762,5175,5130
./data/flowshop_tai100_5.txt,3,100,5,cpoptimizer,300,1,401,0.057616233825683594,5014,4963
./data/flowshop_tai100_5.txt,4,100,5,cpoptimizer,300,1,401,0.063079833984375,5250,5195
./data/flowshop_tai100_5.txt,5,100,5,cpoptimizer,300,1,400,0.06541872024536133,5135,5063
./data/flowshop_tai100_5.txt,6,100,5,cpoptimizer,300,1,373,0.09805130958557129,5246,5198
./data/flowshop_tai100_5.txt,7,100,5,cpoptimizer,300,1,368,0.05970597267150879,5106,5038
./data/flowshop_tai100_5.txt,8,100,5,cpoptimizer,300,1,381,0.06620359420776367,5454,5385
./data/flowshop_tai100_5.txt,9,100,5,cpoptimizer,300,1,411,0.05884075164794922,5328,5272
./data/flowshop_tai20_5.txt,0,20,5,cpoptimizer,300,1,353,0.02950263023376465,1278,1232
./data/flowshop_tai20_5.txt,1,20,5,cpoptimizer,300,1,348,0.03717494010925293,1359,1290
